Name,Price,Discount,Category
Vitron HTC5068US 50” Smart Android 4K UHD LED TV - Black,35910,10,Flash Sales
Amtec AM-01 2.1CH Multimedia Speaker BT/USB/SD/FM - Black,4740,30,Flash Sales
"Skyworth 50G3A, 50″ 4K UHD Frameless Smart Android TV – Black",43499,21,Flash Sales
"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal",16999,15,Flash Sales
VON Von VALS-75BWY Twin Tub Washing Machine - 7.5Kg,20995,22,Flash Sales
Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,227,34,Flash Sales
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,1295,0,Flash Sales
Exe Exe All Purpose Flour 2kg,199,5,Flash Sales
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1299,32,Flash Sales
Fashion Mens Solid Long Sleeve Dress Shirts,719,43,Flash Sales
Nexus 2 In 1 Sandwich Maker With Black Triangle Plate - Black & White,1025,0,Flash Sales
Fashion 6PCs Men's Official Socks - Assorted,459,24,Flash Sales
Velvex Shower Gel 5 Litres - Lavender,750,0,Flash Sales
Dawn Pekee Poa Toilet Paper 10 X 4 Wrapped,780,0,Flash Sales
Ranee Biryani - 5 Kg,1199,9,Flash Sales
Fashion Men's Formal Casual Peplum Shoes - White,1179,45,Flash Sales
Hair Clipper Hair Trimmer Electric Shaver USB Cordless,794,43,Flash Sales
"Geemy Rechargeable Hair Shaving Machine, Shaver- 3 In 1",880,41,Flash Sales
Garnier Even & Matte Dark Spot Corrector,1050,0,Flash Sales
Garnier Even & Matte Vitamin C Booster Serum 15ml,850,0,Flash Sales
LED 2.4G Rechargeable Wireless Mouse,519,48,Flash Sales
AILYONS HD-198A Electric Dry Iron Box White & Blue,799,38,Flash Sales
AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle,1059,34,Flash Sales
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner",2599,21,Flash Sales
Fashion Men's Breathable Casual Loafers Low Top Shoes - Black,990,47,Flash Sales
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,3045,0,Flash Sales
Fashion Men's Shoes Loafers Classic Men's Casual Shoes Canvas Loafers Slip-On Shoes,694,50,Flash Sales
Cil Pishori Aromatic Rice - 5kg,1379,7,Flash Sales
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,3599,28,Flash Sales
Electric Hair Clipper Trimmer Cordless Usb Rechargeable,590,46,Flash Sales
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,1699,35,Flash Sales
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack,1799,31,Flash Sales
Sonar C7 Hot And Normal Water Dispenser -blue And White,3699,40,Flash Sales
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,621,53,Flash Sales
Fashion 3PACK Pure Cotton Brief Boxers Men's Underwear,699,33,Flash Sales
Fashion Mens Casual Solid Short Sleeve Shirts - Khaki,840,50,Flash Sales
Ushindi Ushindi Multi Purpose Bar Soap - 1kg,199,20,Flash Sales
AILYONS TYB-205 Blender 2In1 With Grinder Machine 1.5L Red,1799,31,Flash Sales
Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1750,0,Flash Sales
Fashion 2024 Women's New Classic Fashion Sports Casual Shoes - Pink,800,50,Flash Sales
Velvex Eco-Friendly Kitchen Towel Twin Pack,230,0,Flash Sales
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,689,51,Flash Sales
Fashion Mens Long Sleeve Dress Shirts,799,53,Flash Sales
TC All-in-1Shoe Rack/coat Rack/Cap Scarf Bag Cloths Hanger-5 Layers Black,1783,53,Flash Sales
Garnier Vitamin C Booster Serum 30ml Twin Pack,3500,0,Flash Sales
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",1040,0,Flash Sales
Soko Maize Meal – 10Kg,749,12,Flash Sales
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),1460,0,Flash Sales
Fashion Women's Shoes Sneakers Dad Shoes Walking Shoes,1294,27,Flash Sales
Backpack Laptop Bag Men Bag Satchel School Bag Large Capacity - Gray,994,26,Flash Sales
Wlisth Women's Stainless Steel Quartz Wristwatch,1169,52,Flash Sales
Pembe Pembe All Purpose Home Baking Flour - 2Kg,189,10,Flash Sales
Fashion 2 Piece Men's T-Shirt & Shorts Set,1100,47,Flash Sales
Solar Street Light Flood Light Outdoor,890,49,Flash Sales
Nunix R5 Hot & Normal Free Standing Water Dispenser - White,4294,1,Flash Sales
Fashion Men's Formal Casual Shoes - Brown,1299,49,Flash Sales
Fashion Men's Shoes Loafers Classic Men's Casual Shoes Beef Tendon Sole Canvas Loafers Slip-On Shoes,759,40,Flash Sales
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,809,42,Flash Sales
Fashion Sneakers Women Shoes Women's Shoes,540,46,Flash Sales
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet,6499,24,Flash Sales
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,780,0,Flash Sales
Garnier Bye Acne & Dark Spots Kit.,4245,0,Flash Sales
Pembe Pembe Maize Meal – 5Kg,399,3,Flash Sales
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1199,51,Flash Sales
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Blcak),14996,35,Flash Sales
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",2805,0,Flash Sales
Electric Automatic Water Dispenser Pump - Rechargeable,590,51,Flash Sales
LED Digital Backlit Alarm Clock WithThermometre And Calender,1157,54,Flash Sales
VON Von VALW-10MFW Twin Tub Washing Machine - 10KG,28999,19,Flash Sales
30CM LED Dimmable Wireless Lights Rechargeable Magnetic Night Light Bar,459,49,Flash Sales
Wlisth Men's European Business Waterproof Watch - BLACK,1190,42,Flash Sales
Jikokoa Xtra - Black,2999,25,Flash Sales
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,994,49,Flash Sales
William Lawson's William Lawson's Scotch Whisky – 750ml,1662,5,Flash Sales
Annov 7-Speed Portable Hand Mixer  With Bowl,1099,0,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Night Ink Black.",12249,18,Flash Sales
Annov Dry Iron -  White,789,0,Flash Sales
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),1280,0,Flash Sales
"Vitron 3200S,32"" Inch Smart Android TV,NetflixYoutube, Appstore+FREE Extension+BRACKET",15399,23,Flash Sales
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",5599,26,Flash Sales
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1294,48,Flash Sales
Gilbey's Gilbey's Gilbeys Gin - 750 ML,1376,11,Flash Sales
Garnier Even & Matte Vitamin C Booster Serum 30ml.,1750,0,Flash Sales
AILYONS ELP2404K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2999,27,Flash Sales
Fashion 2024 Women's Casual Shoes High Heels Boots - Black,980,49,Flash Sales
Fashion 2024 Mens Casual Sci-Fi Warrior Shoes Running Sneakers - Black/Green,1679,44,Flash Sales
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,1972,13,Flash Sales
